                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0367,                0.80055,                0.88204,                0.71065,                 0.4244,                0.49187,                0.34529,                0.96871,                 1.5472,                0.60753,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0508,                0.84706,                0.91311,                0.64375,                0.28301,                0.30279,                0.22205,                0.97188,                 1.5597,                0.60928,             0.00028475,             0.00028475,             0.00028475
                     80,                0.96225,                0.76683,                0.87457,                0.68421,                0.45801,                 0.4942,                0.35707,                0.97083,                 1.5208,                0.61144,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.9674,                0.77305,                0.86636,                0.65782,                0.38871,                0.41424,                0.29043,                0.97069,                 1.5221,                0.60957,                0.00026,                0.00026,                0.00026
                     82,                 1.0008,                0.80774,                0.88054,                0.66987,                0.47108,                0.49659,                  0.356,                0.95909,                 1.4997,                0.60655,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.0052,                0.80961,                0.88214,                0.68426,                 0.4619,                0.49937,                0.36193,                 0.9567,                 1.4955,                0.60628,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0334,                0.82526,                0.89339,                0.63328,                0.48381,                0.49818,                0.35571,                0.96723,                 1.4873,                0.60814,             0.00022288,             0.00022288,             0.00022288
                     85,                 0.9664,                0.75942,                0.89044,                0.64375,                0.46668,                0.49762,                0.35535,                0.95982,                  1.484,                 0.6073,              0.0002105,              0.0002105,              0.0002105
                     86,                0.98683,                0.78386,                 0.8765,                0.63855,                 0.4867,                0.49376,                0.35387,                0.95936,                 1.4828,                0.60685,             0.00019813,             0.00019813,             0.00019813
                     87,                0.94773,                0.77189,                0.87011,                0.74808,                 0.4392,                0.49711,                 0.3518,                0.97088,                 1.4805,                0.60692,             0.00018575,             0.00018575,             0.00018575
                     88,                0.96789,                 0.7742,                0.86523,                0.68454,                0.45794,                0.49773,                0.35412,                0.97135,                 1.4992,                0.60616,             0.00017338,             0.00017338,             0.00017338
                     89,                0.94874,                0.77943,                0.87902,                 0.6974,                0.44311,                0.49417,                0.35142,                0.96055,                  1.485,                0.60534,               0.000161,               0.000161,               0.000161
                     90,                 1.0201,                0.80494,                0.88019,                0.63631,                0.47552,                0.49398,                0.35039,                0.95962,                 1.4788,                0.60501,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.0019,                0.88116,                0.88904,                0.66049,                0.47417,                0.49357,                0.35606,                0.97054,                 1.4916,                0.60794,             0.00013625,             0.00013625,             0.00013625
                     92,                0.99754,                  0.845,                0.89589,                0.70006,                 0.4739,                0.48775,                0.34458,                0.99992,                 1.5534,                0.61237,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.0195,                0.82375,                0.89809,                 0.6916,                0.47882,                 0.4841,                 0.3444,                 1.0056,                 1.5548,                0.61312,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.0263,                0.83482,                0.89074,                0.70171,                0.46366,                0.48174,                0.34594,                 1.0077,                 1.5711,                0.61397,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.99931,                0.80497,                0.89046,                0.60588,                0.37111,                0.35075,                0.25575,                 1.0106,                  1.575,                0.61518,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.0419,                0.83137,                0.88854,                0.67591,                0.47936,                0.48131,                0.33939,                 1.0114,                 1.5761,                0.61544,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.96506,                0.79324,                0.89268,                 0.6777,                0.47221,                0.47823,                0.33725,                 1.0111,                  1.568,                0.61445,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.99198,                0.79857,                0.89279,                0.68857,                0.47504,                0.48467,                0.33906,                 1.0127,                  1.573,                0.61425,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.99607,                0.80628,                 0.8921,                0.63252,                 0.5048,                0.47755,                0.33499,                 1.0171,                 1.5853,                0.61499,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                  1.005,                0.83319,                0.90271,                0.66964,                0.47825,                0.48108,                0.33494,                 1.0113,                  1.579,                0.61376,             2.4875e-05,             2.4875e-05,             2.4875e-05
